Annual Income,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Default,Id,Credit Score,Years in current job_0,Years in current job_1,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Years in current job_10,Term_Long Term,Term_Short Term,Home Ownership_2,Home Ownership_1,Purpose_1,Purpose_2,Purpose_3
1020072,0,6,12,199078,0,0,309672,120517,14451,1,19,712,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1651993,0,11,26,663894,0,0,585090,252852,8742,0,20,697,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1047394,0,7,34,401104,0,0,324852,183597,7786,1,21,719,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,17,14,700040,0,0,174878,168074,17132,1,23,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
951425,0,20,15,748880,0,0,66110,285874,17046,0,26,742,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
711094,0,12,19,533808,0,0,155782,262314,13807,0,28,740,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,9,18,186494,0,0,357918,72808,22352,1,29,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1526840,0,19,25,1303082,0,0,265188,495178,28247,1,32,726,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,13,21,101464,0,0,79464,60287,14003,1,33,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1899050,0,6,10,802692,0,0,43978,550430,21839,0,34,722,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,9,31,1457104,0,0,155474,254201,7020,0,35,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,8,14,409222,0,0,667458,206758,18846,1,36,729,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1163256,0,13,18,608652,0,0,122936,221825,10806,1,37,729,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1395645,0,15,17,1480182,0,0,120670,58805,10200,0,38,750,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
852017,3,12,7,337722,3,0,175384,160417,21868,1,39,727,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
709821,0,13,23,339724,0,0,246004,198341,14670,1,40,670,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1350349,0,20,15,763422,0,0,241230,306584,9014,0,41,721,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,22,10,625042,0,0,326810,300675,13844,1,42,729,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,10,9,348678,0,0,191136,165927,12031,1,43,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,10,21,1104554,1,1,774092,595251,28897,0,45,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,18,18,1447468,0,0,215490,612541,24039,0,47,729,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,14,18,252670,0,0,323796,94696,25005,1,48,729,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1163256,0,8,17,181742,0,0,355344,108300,19012,1,49,729,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
665931,0,6,22,279642,0,0,220308,181127,9379,0,50,716,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1521672,0,12,10,900878,0,0,132154,242744,20416,1,51,742,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
916560,0,8,9,564168,0,0,265320,183198,13137,0,52,744,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,7,17,293766,1,1,175516,149948,3767,1,54,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,7,18,89100,0,0,130328,39235,18351,0,55,729,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1520969,0,7,19,458590,0,0,468138,2774,12865,0,56,748,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
719549,0,7,16,37290,1,0,71258,27569,12592,1,57,722,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
992845,0,17,21,1132054,0,0,207812,294291,25483,0,58,739,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,9,10,642092,0,0,312026,296685,13006,1,59,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1630029,0,10,17,697114,0,0,230362,260680,6181,0,60,714,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1670860,0,8,16,233420,0,0,333564,122569,23949,0,62,705,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
573762,0,7,16,197120,0,0,177166,114741,12671,1,63,735,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,10,15,697642,0,0,156508,398259,28077,0,64,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1280125,0,8,13,362934,0,0,318582,204991,16428,1,65,741,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,11,11,693418,1,1,266398,147915,21461,0,66,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2157773,0,10,22,660374,0,0,482152,494475,39559,0,68,743,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1408527,0,12,17,700062,0,0,525998,174135,9320,1,69,647,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
613966,0,5,16,96998,0,0,148632,29982,6498,0,70,744,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,8,13,797874,0,0,308616,360392,35030,0,71,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1140000,0,9,16,778448,0,0,462000,414808,19950,0,72,725,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1631644,0,9,12,862422,0,0,351670,155667,4773,1,73,718,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1164852,0,19,12,276540,0,0,175340,92663,12134,1,77,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,7,9,415250,0,0,174438,185402,7735,0,78,729,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
985815,0,11,18,227876,3,3,108504,104899,10351,1,79,729,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1163256,0,6,36,263934,0,0,111848,60173,16918,0,80,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1112298,0,7,9,81598,0,0,128788,42921,15906,1,81,704,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1001357,0,6,16,655292,0,0,109384,294291,16606,0,82,745,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1934884,0,9,18,769604,0,0,390258,429381,19188,0,86,745,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1533566,0,11,14,715462,0,0,210826,285475,18147,1,87,744,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1041675,0,13,19,551320,0,0,100144,167599,12648,0,89,737,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1304141,0,6,12,132418,1,1,176616,97546,14237,0,90,673,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
601369,0,6,16,0,0,0,165924,0,9021,0,91,738,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1642075,0,12,12,384736,0,0,276562,275462,25863,0,92,653,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1049294,0,5,6,249810,0,0,337502,119529,15215,1,94,701,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
805828,0,8,20,657360,0,0,199936,250933,13565,0,95,740,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
757568,0,13,11,383548,0,0,210518,276583,11553,1,96,732,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1242087,0,17,20,613954,1,1,196130,181336,16251,1,98,711,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,9,8,61358,0,0,32824,14041,7879,1,99,729,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
960260,0,10,16,796312,0,0,333564,320473,16645,0,101,617,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
708624,0,7,8,576378,0,0,299376,210064,6555,0,102,730,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1510538,0,7,18,593472,0,0,405944,432060,19511,0,103,724,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,16,17,1158630,0,0,343772,218139,5996,0,105,729,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,14,11,300740,0,0,90178,157149,14324,0,107,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2831190,0,11,16,518188,0,0,393382,362938,26188,0,109,741,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,9,13,259842,0,0,151514,160455,13511,0,111,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1530640,0,14,18,283448,2,2,243694,194598,15306,0,112,740,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
902918,0,13,15,329252,0,0,222442,31559,9706,0,113,738,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1030579,0,11,8,141020,0,0,379698,95247,10478,1,114,624,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
1039984,0,10,23,147950,0,0,224246,95456,13780,1,116,739,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1350083,0,10,12,325490,0,0,223322,168663,15076,0,117,724,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1637629,0,9,17,372878,0,0,460438,285323,24974,0,118,724,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
566409,0,12,6,288772,0,0,109318,82308,11611,0,119,667,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,8,6,405284,0,0,182336,158555,21091,0,120,729,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1217349,0,10,16,366498,0,0,325292,298490,25361,0,122,707,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
494798,0,9,10,330176,0,0,176286,124602,6968,1,123,694,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1933573,0,9,20,847990,0,0,545336,186751,12214,0,127,748,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1242657,0,15,13,697004,0,0,221364,164331,12841,0,128,732,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,8,33,651794,0,0,108218,401356,15390,0,130,729,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
753464,0,12,14,516692,0,0,133056,319504,10862,0,131,740,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1594176,0,8,18,909018,0,0,434324,372115,6509,1,132,735,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
564300,0,14,19,349844,1,1,326700,58007,15001,1,134,668,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,11,14,296692,0,0,110792,187321,19964,0,135,729,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1219724,0,7,18,385242,0,0,78628,159695,17971,1,136,723,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1682298,0,5,12,445984,0,0,151514,223782,7388,0,138,748,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,10,15,209220,0,0,337502,103360,18460,0,139,729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
968924,0,12,21,196460,0,0,128370,88236,10497,1,140,725,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,8,19,359084,0,0,328482,142329,26793,0,141,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
606062,0,11,27,235620,2,2,116226,105811,11566,0,142,731,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1163256,0,6,20,249392,0,0,331056,152285,10321,1,143,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,16,20,612216,0,0,412852,378062,25810,1,144,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1534478,0,14,15,539220,0,0,325028,321784,17391,0,145,748,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
395124,0,16,16,561462,0,0,143792,207537,9582,1,149,701,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1163256,0,12,16,362032,1,1,430980,229482,15794,0,150,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1026817,0,19,20,957550,0,0,345884,619419,18055,1,152,714,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
749816,0,7,14,329890,0,0,325578,207138,12934,1,153,747,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1163256,0,12,13,271700,0,0,307230,99484,3454,0,154,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
918384,0,10,33,763906,0,0,212674,502075,14388,0,155,744,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1988825,0,4,14,730466,0,0,614086,383553,6911,0,156,737,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2421835,1,2,23,754160,1,0,232958,120498,3713,0,157,749,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
901588,0,5,16,131230,0,0,266904,88407,7566,1,158,661,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
681435,0,8,18,261602,0,0,169070,127870,4594,0,161,742,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1951319,0,7,18,601766,0,0,327888,220875,13936,0,165,736,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1808800,0,7,23,522104,1,1,436524,257013,19897,0,167,717,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
848426,0,10,17,274934,0,0,151184,163362,13221,1,171,718,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1197323,0,17,12,671176,0,0,290686,213902,17660,0,172,748,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1501855,0,8,14,372196,0,0,535084,132430,28285,0,173,678,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
708491,0,16,19,559020,0,0,326524,438862,20960,1,174,709,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1281455,0,9,20,552662,0,0,541530,368486,26056,0,175,675,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
833416,0,7,9,237138,0,0,61402,58159,3091,0,176,667,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,16,24,824428,0,0,264264,317566,25942,0,177,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
696863,0,7,7,652762,0,0,87406,187169,9872,0,178,718,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1094837,0,9,39,611754,0,0,134420,230356,17700,0,179,743,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2356475,0,11,34,465124,0,0,523886,272745,32009,0,180,700,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
597075,0,12,4,943360,0,0,144958,97774,3060,0,182,737,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,9,9,101442,0,0,40546,51585,4553,1,183,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1770895,0,19,10,1115114,0,0,264572,471903,24350,0,184,741,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2010960,1,7,23,180488,1,0,646800,13870,17763,0,185,743,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1325345,0,16,9,980342,0,0,438460,536788,24850,0,186,645,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1857554,0,24,19,707630,0,0,322630,400900,26470,0,190,742,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
479940,0,23,10,450626,0,0,114488,101574,10799,1,191,697,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1417514,0,19,30,611798,0,0,562100,284791,22562,1,194,736,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,19,19,809446,0,0,602624,353723,32651,1,195,729,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
815157,0,3,8,0,0,0,218042,0,5855,0,196,738,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1221662,0,9,10,283096,0,0,261140,95342,15678,1,197,728,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
2298240,0,11,13,840048,0,0,332640,587651,18520,1,198,737,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1738044,0,12,26,402556,0,0,61248,233966,35919,0,199,740,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1341590,0,12,20,700942,0,0,215754,494589,21801,0,200,732,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1163256,0,7,15,402886,0,0,178002,265506,17615,0,201,729,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
2022835,0,10,26,229746,1,1,350240,136705,9018,0,202,733,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1077490,0,10,15,271832,0,0,377652,170677,4597,0,203,726,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
637279,0,12,10,362406,0,0,268334,231610,11259,0,204,745,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,8,25,896456,0,0,262768,194332,6539,0,205,729,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1304407,0,12,40,607684,0,0,124652,455544,25979,1,206,747,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
917567,0,9,15,313478,0,0,221342,137807,12387,0,208,751,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
679630,0,12,22,359876,0,0,112420,299307,19370,0,210,706,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,10,21,305756,0,0,332288,202806,21355,1,213,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1101126,0,15,26,1043658,0,0,263780,517370,21288,0,214,728,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
567378,0,11,20,238326,0,0,131384,45904,7414,0,215,724,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1627825,0,6,30,290136,0,0,133848,136306,24689,0,216,745,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,8,23,323312,0,0,267520,230926,5487,0,218,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
564357,0,9,9,455048,0,0,225984,311258,14015,0,219,731,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
656336,0,4,15,286044,0,0,261514,237405,6837,1,220,700,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
892791,0,20,9,141570,0,0,134838,86811,3303,0,222,741,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,9,21,650562,0,0,108372,383743,7886,0,223,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1226583,0,15,12,776160,0,0,542080,350569,16048,0,224,660,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
583224,0,6,23,159830,0,0,162074,128231,4666,0,225,712,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
509599,0,12,38,836220,0,0,128744,578474,14354,0,226,704,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
486552,0,6,26,495924,0,0,187594,174325,4906,1,228,738,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
835601,0,7,11,96800,0,0,51612,74233,5146,0,230,715,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
563502,0,5,24,47938,0,0,39138,9310,8453,0,231,715,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1159152,0,14,18,651310,0,0,322124,473632,23570,0,233,730,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,21,28,1156232,0,0,379280,519251,27894,0,234,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,9,13,951676,0,0,603812,329593,12664,0,235,729,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1533984,0,14,16,421850,0,0,133210,241547,31575,1,236,743,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,17,20,269148,0,0,269148,175503,32983,0,238,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
863341,0,12,15,1226390,0,0,365090,134520,3137,1,239,751,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
749816,0,11,13,164780,1,1,93500,80693,16933,0,240,717,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
753179,0,13,21,462220,0,0,135146,162868,13055,1,241,739,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
860567,0,8,17,268070,0,0,265716,198645,13554,0,242,725,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,19,10,289762,0,0,214588,135375,10842,0,243,729,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
446025,0,3,30,749144,0,0,71720,32357,2070,0,246,723,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1539152,0,12,24,657052,0,0,534644,347852,18341,0,248,742,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
584079,0,4,22,281512,1,1,112728,38893,8031,0,249,736,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1682545,0,11,15,709082,0,0,153230,596467,22714,0,250,739,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
730835,0,6,19,63184,0,0,107976,29089,14465,1,251,737,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
699162,0,6,26,200420,1,1,174108,84303,2220,0,252,711,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
759772,0,14,24,528242,0,0,153956,101270,5736,0,253,748,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1162572,2,11,36,928598,2,0,358974,441085,18601,0,254,738,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
699181,0,10,17,190190,0,0,151118,44194,17596,0,258,731,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1062556,0,17,19,894278,0,0,335544,402382,19480,1,259,703,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1418768,0,11,23,1155924,0,0,309430,618944,16907,0,261,742,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,12,16,653202,0,0,304392,200830,26445,0,262,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1910678,0,13,19,351208,0,0,173514,209893,24839,1,263,747,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,8,20,228712,0,0,150942,121277,13222,0,264,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,11,12,182314,0,0,183260,128478,10814,0,266,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2104003,0,5,16,130746,0,0,159456,93822,27527,1,267,743,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
665532,0,5,8,329054,0,0,154132,149188,3422,1,268,695,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,11,14,558250,0,0,129206,24586,930,0,270,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1319360,0,10,13,858242,0,0,152768,340955,19241,0,271,743,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1425855,0,8,15,888536,0,0,374220,307724,13427,0,272,743,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,5,43,906774,0,0,230054,232598,5075,0,273,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
954389,0,8,12,174394,0,0,237446,134653,16702,1,274,662,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,8,21,887502,0,0,152988,270560,11270,1,277,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
